annee_mois,chiffre_affaires,marge_totale,nb_ventes,nb_clients_actifs
2024-08,270345.5,126251.53,755,356
2024-09,433852.74,201229.71,1258,424
2024-10,454039.28,209300.33,1364,429
2024-11,605525.31,281362.07,1836,449
2024-12,780291.54,365155.91,2198,466
2025-01,388489.55,182521.59,1121,403
2025-02,326468.75,154198.17,976,376
2025-03,395863.66,183844.73,1177,416
2025-04,380465.53,176320.86000000002,1077,390
2025-05,432816.13,202423.3,1251,425
2025-06,410547.96,190524.54,1202,400
2025-07,265738.48,123077.56,785,356
2026-08,2210.1,1050.61,5,5
