id_vente,id_client,id_produit,date_vente,quantite,prix_paye
1,72,137,2024-11-06,1,63.66
2,77,64,2025-05-05,1,312.23
3,400,96,2025-01-08,1,65.11
4,436,58,2025-05-27,1,440.25
5,305,56,2025-04-29,1,443.42
6,184,30,2025-04-18,1,442.18
7,185,55,2024-11-04,1,526.4
8,23,57,2024-11-29,1,349.1
9,215,43,2025-05-19,1,418.43
10,453,11,2025-06-01,1,16.25
11,209,85,2024-09-11,1,339.74
12,22,44,2024-11-13,2,392.03
13,126,114,2025-01-08,1,647.69
14,97,30,2025-02-19,1,442.18
15,91,73,2025-06-27,1,488.92
16,362,19,2024-09-07,1,90.14
17,389,72,2024-09-21,1,246.7
18,479,26,2024-11-18,1,80.28
19,258,33,2025-02-06,1,121.24
20,372,111,2025-07-27,3,438.69
21,193,96,2024-10-08,1,65.11
22,126,117,2024-10-19,1,524.45
23,208,22,2025-06-06,1,163.49
24,22,107,2025-01-23,1,68.9
25,237,117,2025-04-16,1,524.45
26,182,39,2024-08-27,1,347.1
27,217,130,2024-08-23,2,499.34
28,411,106,2024-12-13,1,330.68
29,292,72,2024-09-27,1,246.7
30,46,70,2025-05-07,1,300.47
31,224,26,2024-10-15,1,80.28
32,318,22,2024-08-22,2,163.49
33,223,104,2024-11-16,1,235.06
34,314,138,2025-07-08,1,382.16
35,118,79,2024-11-30,1,135.77
36,437,51,2024-08-13,2,383.07
37,63,131,2024-12-06,1,625.36
38,498,70,2025-07-26,1,300.47
39,318,147,2024-11-22,1,363.91
40,490,116,2025-03-24,2,105.33
41,489,121,2024-11-25,1,538.87
42,395,91,2025-07-04,1,73.18
43,206,12,2025-01-16,1,261.78
44,172,24,2024-12-21,1,563.43
45,373,58,2025-04-18,1,440.25
46,128,143,2025-05-02,1,385.7
47,125,43,2024-08-15,1,418.43
48,54,64,2024-12-12,1,312.23
49,146,66,2024-12-14,1,198.33
50,425,26,2025-06-02,3,80.28
51,328,25,2025-01-08,1,485.62
52,61,90,2025-04-19,2,456.59
53,314,149,2025-05-23,1,429.45
54,200,106,2025-07-10,1,330.68
55,256,44,2025-03-09,1,392.03
56,457,127,2025-06-16,1,179.33
57,176,131,2025-05-11,1,625.36
58,403,46,2025-01-02,1,429.28
59,437,137,2024-08-01,2,63.66
60,103,91,2024-11-16,1,73.18
61,264,94,2025-01-12,1,512.02
62,498,31,2025-04-19,1,211.87
63,140,105,2024-12-24,1,205.64
64,30,101,2024-11-29,1,15.78
65,10,85,2024-11-24,1,339.74
66,242,38,2024-10-15,1,455.18
67,63,121,2024-12-04,1,538.87
68,234,67,2024-09-07,1,331.31
69,97,13,2025-02-21,1,379.07
70,304,57,2024-11-21,2,349.1
71,253,5,2024-10-02,1,287.24
72,144,131,2025-04-16,1,625.36
73,471,69,2025-05-08,1,186.83
74,385,16,2025-04-01,1,412.27
