id_produit,nom_produit,categorie,prix,cout,stock
1,Mode Paupière 1,Mode Homme,335.74,235.05,413.0
2,Électronique Palais 2,Électronique,18.99,10.44,481.0
3,Sport Révéler 3,Sport & Loisirs,217.96,105.85,221.0
4,Maison Pareil 4,Maison & Déco,510.73,227.34,403.0
5,Maison Ce 5,Maison & Déco,287.24,207.93,218.0
6,Mode Pouvoir 6,Mode Femme,120.34,54.08,400.0
7,Mode Parce que 7,Mode Homme,303.12,176.74,473.0
8,Mode Heure 8,Mode Homme,62.79,27.03,269.0
9,Livres Combat 9,Livres & Médias,719.54,292.18,163.0
10,Électronique Poussière 10,Électronique,394.66,196.03,459.0
11,Électronique Terminer 11,Électronique,16.25,12.25,133.0
12,Mode Air 12,Mode Homme,261.78,114.69,458.0
13,Maison Charger 13,Maison & Déco,379.07,206.57,429.0
14,Maison Moitié 14,Maison & Déco,348.48,143.22,98.0
15,Électronique Musique 15,Électronique,206.74,138.16,374.0
16,Maison Arracher 16,Maison & Déco,412.27,248.65,287.0
17,Livres Rentrer 17,Livres & Médias,62.02,29.3,21.0
18,Maison Règle 18,Maison & Déco,102.42,43.74,381.0
19,Enfants À 19,Enfants & Bébé,90.14,49.56,
20,Sport Centre 20,Sport & Loisirs,636.49,273.31,83.0
21,Électronique Sentir 21,Électronique,199.22,122.29,386.0
22,Mode Soit 22,Mode Femme,163.49,97.03,421.0
23,Livres Suivant 23,Livres & Médias,113.32,72.84,319.0
24,Beauté Grain 24,Beauté & Santé,563.43,261.1,273.0
25,Sport Prêter 25,Sport & Loisirs,485.62,259.99,71.0
26,Mode Représenter 26,Mode Femme,80.28,51.98,92.0
27,Maison Eaux 27,Maison & Déco,520.9,234.1,173.0
28,Beauté Terre 28,Beauté & Santé,213.35,161.45,348.0
29,Mode Traverser 29,Mode Homme,58.54,43.72,315.0
30,Mode Passage 30,Mode Homme,442.18,290.42,14.0
31,Livres Jaune 31,Livres & Médias,211.87,147.05,272.0
32,Mode Loin 32,Mode Homme,294.11,184.16,8.0
33,Beauté Avant 33,Beauté & Santé,121.24,64.15,318.0
34,Beauté Énergie 34,Beauté & Santé,333.49,197.2,385.0
35,Sport Partout 35,Sport & Loisirs,401.85,240.28,204.0
36,Électronique Inquiétude 36,Électronique,91.26,49.13,477.0
37,Enfants Réponse 37,Enfants & Bébé,226.59,120.79,94.0
38,Mode Soldat 38,Mode Homme,455.18,217.96,216.0
39,Livres Seigneur 39,Livres & Médias,578.5,258.74,391.0
40,Mode Peur 40,Mode Homme,480.83,218.66,40.0
41,Sport Tirer 41,Sport & Loisirs,189.78,76.4,159.0
42,Beauté Loin 42,Beauté & Santé,19.58,10.42,91.0
43,Maison Parti 43,Maison & Déco,418.43,212.23,415.0
44,Mode Circonstance 44,Mode Homme,392.03,282.67,224.0
45,Électronique Chaise 45,Électronique,53.21,30.92,416.0
46,Maison Toit 46,Maison & Déco,429.28,248.23,102.0
47,Sport Endormir 47,Sport & Loisirs,87.46,44.15,173.0
48,Mode Absence 48,Mode Homme,478.84,209.49,105.0
49,Maison Je 49,Maison & Déco,77.56,54.41,458.0
50,Mode Lettre 50,Mode Homme,98.91,41.64,8.0
51,Livres Souvenir 51,Livres & Médias,383.07,281.18,415.0
52,Sport Front 52,Sport & Loisirs,225.66,93.16,327.0
53,Enfants Refuser 53,Enfants & Bébé,487.84,215.66,317.0
54,Beauté Public 54,Beauté & Santé,349.2,185.62,458.0
55,Mode Maintenir 55,Mode Femme,526.4,268.97,313.0
56,Beauté Vite 56,Beauté & Santé,443.42,236.23,126.0
57,Beauté Chemise 57,Beauté & Santé,349.1,160.29,458.0
58,Maison Au 58,Maison & Déco,440.25,218.82,11.0
59,Sport Défaut 59,Sport & Loisirs,122.16,52.07,121.0
60,Mode Position 60,Mode Homme,190.26,102.06,172.0
61,Mode Côté 61,Mode Femme,131.98,58.72,182.0
62,Maison Mourir 62,Maison & Déco,26.71,17.88,453.0
63,Mode Chercher 63,Mode Femme,341.84,217.16,351.0
64,Enfants Exécuter 64,Enfants & Bébé,312.23,165.03,411.0
65,Livres Sien 65,Livres & Médias,135.17,63.87,92.0
66,Sport Dormir 66,Sport & Loisirs,198.33,128.43,390.0
67,Maison Direction 67,Maison & Déco,331.31,141.47,158.0
68,Beauté Comme 68,Beauté & Santé,295.67,127.69,292.0
69,Électronique Mer 69,Électronique,186.83,107.05,19.0
70,Maison Elle 70,Maison & Déco,300.47,153.93,434.0
71,Électronique Passé 71,Électronique,320.91,175.71,116.0
72,Beauté Disposer 72,Beauté & Santé,246.7,121.68,334.0
73,Livres Inutile 73,Livres & Médias,488.92,270.71,425.0
74,Sport Cheval 74,Sport & Loisirs,488.38,297.68,
75,Mode Nature 75,Mode Homme,137.49,67.15,39.0
76,Maison Aucun 76,Maison & Déco,398.3,251.62,281.0
77,Beauté Souvenir 77,Beauté & Santé,516.83,216.17,86.0
78,Maison Trembler 78,Maison & Déco,334.81,191.6,1.0
79,Enfants Saison 79,Enfants & Bébé,135.77,58.39,492.0
80,Livres Commun 80,Livres & Médias,189.8,133.96,380.0
81,Enfants Parmi 81,Enfants & Bébé,261.53,136.37,472.0
82,Mode Passé 82,Mode Femme,283.53,200.47,144.0
83,Sport Toile 83,Sport & Loisirs,296.51,120.37,65.0
84,Mode Salle 84,Mode Femme,338.34,258.11,448.0
85,Maison Présence 85,Maison & Déco,339.74,233.17,300.0
86,Sport Consulter 86,Sport & Loisirs,118.49,74.92,9.0
87,Livres Précéder 87,Livres & Médias,40.12,26.68,457.0
88,Livres Accepter 88,Livres & Médias,288.97,137.39,360.0
89,Beauté Quelque 89,Beauté & Santé,211.17,132.11,170.0
90,Maison Aussi 90,Maison & Déco,456.59,284.83,373.0
91,Mode Remettre 91,Mode Femme,73.18,54.45,420.0
92,Enfants Oeuvre 92,Enfants & Bébé,213.89,110.24,304.0
93,Mode Rue 93,Mode Homme,575.84,254.03,155.0
94,Électronique Plusieurs 94,Électronique,512.02,259.94,250.0
95,Mode Prêter 95,Mode Homme,61.73,38.02,129.0
96,Mode Désigner 96,Mode Femme,65.11,41.28,281.0
97,Mode Vêtement 97,Mode Femme,24.03,16.61,197.0
98,Livres Robe 98,Livres & Médias,81.7,58.1,160.0
99,Mode Dernier 99,Mode Homme,208.73,154.63,489.0
100,Livres Condamner 100,Livres & Médias,229.29,122.23,250.0
101,Livres Chasser 101,Livres & Médias,15.78,6.46,305.0
102,Enfants Meilleur 102,Enfants & Bébé,582.99,292.06,183.0
103,Sport Titre 103,Sport & Loisirs,296.39,157.1,427.0
104,Électronique Sein 104,Électronique,235.06,162.01,125.0
105,Mode Serrer 105,Mode Homme,205.64,95.84,233.0
106,Sport Humain 106,Sport & Loisirs,330.68,221.21,340.0
107,Beauté Présence 107,Beauté & Santé,68.9,32.7,351.0
108,Mode Masse 108,Mode Homme,182.24,74.2,174.0
109,Sport Ni 109,Sport & Loisirs,482.64,209.32,217.0
110,Livres Si 110,Livres & Médias,152.47,115.42,465.0
111,Mode Victime 111,Mode Femme,438.69,187.26,231.0
112,Enfants Étouffer 112,Enfants & Bébé,332.67,231.71,344.0
113,Électronique Fille 113,Électronique,440.12,208.41,146.0
114,Sport Mille 114,Sport & Loisirs,647.69,282.56,303.0
115,Mode Jeune 115,Mode Femme,281.46,197.11,219.0
116,Mode Fusil 116,Mode Homme,105.33,51.99,62.0
117,Sport Particulier 117,Sport & Loisirs,524.45,293.27,175.0
118,Maison Considérer 118,Maison & Déco,319.7,226.97,158.0
119,Mode Convenir 119,Mode Femme,524.61,222.84,380.0
120,Beauté Naissance 120,Beauté & Santé,556.25,230.73,18.0
121,Mode Sembler 121,Mode Femme,538.87,243.31,488.0
122,Électronique Visage 122,Électronique,230.92,98.57,128.0
123,Beauté Printemps 123,Beauté & Santé,79.03,40.46,88.0
124,Enfants Genre 124,Enfants & Bébé,209.47,101.87,198.0
125,Électronique Visite 125,Électronique,300.73,171.21,92.0
126,Mode Refuser 126,Mode Homme,217.72,137.36,496.0
127,Beauté Haut 127,Beauté & Santé,179.33,136.1,266.0
128,Sport Vrai 128,Sport & Loisirs,384.68,183.02,329.0
129,Maison Remettre 129,Maison & Déco,435.24,229.01,84.0
130,Électronique Soutenir 130,Électronique,499.34,259.68,453.0
131,Maison Émotion 131,Maison & Déco,625.36,274.7,152.0
132,Mode Drame 132,Mode Homme,208.38,117.16,292.0
133,Mode École 133,Mode Homme,145.25,77.59,42.0
134,Enfants Songer 134,Enfants & Bébé,524.84,230.64,497.0
135,Mode Froid 135,Mode Homme,416.04,216.07,20.0
136,Mode Venir 136,Mode Femme,82.14,62.75,302.0
137,Mode Joli 137,Mode Femme,63.66,26.03,291.0
138,Enfants Trente 138,Enfants & Bébé,382.16,278.48,276.0
139,Mode Conseil 139,Mode Femme,224.44,146.36,333.0
140,Sport Vous 140,Sport & Loisirs,238.53,148.33,51.0
141,Livres Tempête 141,Livres & Médias,489.58,202.68,155.0
142,Maison Désirer 142,Maison & Déco,274.55,164.05,419.0
143,Maison Près 143,Maison & Déco,385.7,216.7,76.0
144,Sport Recherche 144,Sport & Loisirs,183.68,127.0,458.0
145,Livres Vie 145,Livres & Médias,96.4,41.35,38.0
146,Beauté Suite 146,Beauté & Santé,343.96,159.92,311.0
147,Enfants Humide 147,Enfants & Bébé,363.91,239.06,439.0
148,Enfants Vous 148,Enfants & Bébé,543.51,289.06,262.0
149,Mode Classe 149,Mode Homme,429.45,245.65,172.0
150,Maison Le 150,Maison & Déco,468.27,191.78,374.0
