id_promo,id_produit,date_debut,date_fin,reduction_pct
1,145,2025-03-07,2025-03-21,10
2,106,2025-02-03,2025-02-24,10
3,4,2025-03-15,2025-03-29,30
4,110,2025-03-10,2025-03-24,10
5,77,2025-04-17,2025-04-24,40
6,24,2025-05-03,2025-05-10,15
7,114,2025-01-10,2025-01-17,10
8,73,2025-04-19,2025-05-10,10
9,48,2025-05-18,2025-06-01,20
10,137,2025-07-14,2025-08-13,15
11,64,2025-06-23,2025-07-07,40
12,150,2025-02-24,2025-03-26,15
13,119,2024-11-20,2024-12-20,25
14,118,2025-07-07,2025-07-21,10
15,71,2025-06-26,2025-07-03,40
16,59,2025-01-12,2025-02-11,20
17,5,2025-06-10,2025-07-10,25
18,39,2024-08-05,2024-09-04,40
19,14,2025-02-20,2025-02-27,40
20,68,2024-09-11,2024-09-18,10
21,89,2024-08-10,2024-09-09,40
22,91,2024-12-26,2025-01-16,10
23,31,2024-09-26,2024-10-10,15
24,146,2024-08-21,2024-09-04,30
25,61,2025-04-18,2025-05-18,15
26,117,2024-08-22,2024-09-21,15
27,94,2024-10-17,2024-11-07,25
28,2,2024-11-12,2024-11-26,10
29,44,2025-05-19,2025-06-18,30
30,118,2025-06-02,2025-06-09,10
31,120,2024-10-02,2024-10-09,10
32,31,2024-11-20,2024-12-04,15
33,25,2025-04-23,2025-05-23,25
34,149,2024-11-06,2024-12-06,15
35,3,2024-09-26,2024-10-26,10
36,8,2025-06-22,2025-07-06,25
37,83,2024-08-25,2024-09-01,25
38,81,2025-04-26,2025-05-17,25
39,78,2025-06-01,2025-06-22,25
40,145,2024-11-23,2024-12-23,15
