annee_mois,categorie,quantite,prediction
2025-06,Beauté & Santé,140,177.61361855677245
2025-07,Beauté & Santé,118,166.2561945955438
2025-06,Enfants & Bébé,137,148.03503909516664
2025-07,Enfants & Bébé,80,148.03503909516664
2025-06,Livres & Médias,156,185.4752913117966
2025-07,Livres & Médias,110,185.4752913117966
2025-06,Maison & Déco,217,221.07660809271275
2025-07,Maison & Déco,138,221.07660809271275
2025-06,Mode Femme,193,185.96588827066643
2025-07,Mode Femme,121,187.35349424455893
2025-06,Mode Homme,219,225.2006330255721
2025-07,Mode Homme,141,225.2006330255721
2025-06,Sport & Loisirs,171,185.4752913117966
2025-07,Sport & Loisirs,128,185.4752913117966
2025-06,Électronique,188,161.30967538084548
2025-07,Électronique,82,177.61361855677245
